stat_id,eshcol,pop_thou
71,,0.7
101,,
111,,
131,,
151,,
161,,
181,,0.6
211,,
221,,
231,,
241,,0.6
261,13.0,2.6
271,,
281,14.0,8.9
291,14.0,1.4
311,6.0,4.4
312,6.0,3.1
313,7.0,3.3
314,7.0,2.7
315,,
316,3.0,6.1
317,7.0,4.5
321,,0.5
331,,
351,,
361,,
371,,
391,,
411,11.0,2.9
431,13.0,1.5
441,,
461,7.0,3.4
471,15.0,2.5
481,,1.0
491,,
521,,
531,,5.0
551,,
571,,0.6
581,,
591,,
621,,0.5
631,,0.6
641,,0.9
651,10.0,1.4
661,,0.8
671,,
691,,
70111,,
70112,,
70113,,
70121,,
70122,9.0,2.9
70123,9.0,3.6
70124,,
70125,6.0,2.6
70126,8.0,4.0
70131,7.0,2.3
70132,6.0,2.1
70133,5.0,4.6
70141,2.0,4.7
70142,4.0,3.1
70143,4.0,4.3
70144,4.0,6.7
70145,,
70211,3.0,10.1
70212,2.0,7.1
70221,6.0,2.8
70222,7.0,3.9
70223,6.0,3.5
70231,11.0,3.7
70232,9.0,2.9
70233,10.0,3.9
70234,10.0,4.1
70241,10.0,5.5
70242,6.0,2.9
70243,12.0,3.2
70244,13.0,2.4
70311,12.0,1.0
70312,12.0,1.1
70313,,
70314,11.0,5.2
70315,11.0,3.7
70316,12.0,5.2
70317,11.0,4.4
70321,8.0,4.4
70322,2.0,4.5
70323,6.0,4.5
70331,10.0,3.2
70332,10.0,2.0
70333,11.0,5.1
70341,,
70342,11.0,4.8
70343,10.0,3.4
70411,9.0,4.8
70412,11.0,3.7
70413,10.0,2.7
70414,,
70415,9.0,
70421,12.0,7.0
70422,12.0,7.7
70423,12.0,4.7
70424,11.0,2.8
70425,10.0,5.4
70426,13.0,3.4
70431,,
70432,14.0,4.6
70433,13.0,5.8
70434,13.0,2.4
711,,
721,,0.8
741,,
761,,0.7
771,,1.4
781,,
791,,
801,,0.8
821,,0.7
841,,
851,,0.8
861,,0.6
881,,
891,,0.5
901,,
921,,
941,,
951,,1.2
961,,1.4
971,,0.7
981,,
991,8.0,4.8
1021,,
1031,,1.1
1041,,0.6
1061,,
1071,,
1121,,
1131,,
1151,,0.7
1221,14.0,6.2
1261,,0.6
1271,,
1281,,
1301,,1.1
1321,,
1331,,0.7
1341,,0.8
1351,,
1391,,0.5
1401,,0.9
1411,,
1421,,1.1
1431,,0.6
1441,,
1451,,
1461,,
1471,,1.7
1541,17.0,10.0
1551,,0.8
1561,,
1571,,1.1
1581,,1.3
1591,,0.5
1601,,
1621,,1.2
1631,,0.8
1641,,
1651,,0.5
1661,12.0,4.6
1662,13.0,7.5
1663,10.0,5.3
1671,,0.7
1681,12.0,6.2
1682,14.0,3.6
1683,13.0,6.6
1701,,0.6
1711,12.0,5.5
1731,,0.9
1741,,
1751,,1.2
1761,,1.4
1771,,1.2
1781,,0.8
1821,15.0,10.0
1831,,
1841,,0.9
1861,,
1871,,1.4
1881,,
1891,,0.8
1901,,1.8
1911,,
1921,,0.5
1931,,0.6
1941,,
1951,14.0,5.7
1952,,
1953,16.0,2.6
1954,14.0,5.6
1955,9.0,2.6
1961,,
1971,,0.9
1981,,1.2
1991,,0.7
2001,,
2021,,
2041,,0.6
2051,,0.7
2061,,1.4
2071,,
2081,,0.9
2121,,
2131,,
2171,,1.2
2181,,
2191,,0.5
2201,,0.7
2231,,
2241,,
2251,,0.7
2291,11.0,4.4
2292,17.0,3.4
2293,15.0,4.7
2301,,0.8
2321,,1.0
2331,,0.6
2341,,1.1
2351,,0.6
2371,,0.6
2391,,0.8
2401,10.0,2.1
2402,,
2403,10.0,2.0
2404,11.0,5.4
2405,13.0,3.7
2406,15.0,4.8
2407,10.0,1.0
2411,,1.2
2421,,1.0
2461,6.0,2.2
2462,6.0,5.0
2463,,
2464,6.0,3.8
2465,4.0,3.6
2466,7.0,3.6
2467,7.0,5.0
2468,6.0,2.8
2471,,1.2
2481,,0.6
2491,,1.1
2501,,0.9
2521,,
2531,,
2541,,
2551,,
2561,,0.6
2571,,
2591,,
2621,,
2631,,
2641,,0.5
2651,,
2671,19.0,1.7
2681,,0.6
2691,,0.9
2701,,0.8
2721,,
2731,,0.7
2741,,0.8
2761,,2.7
2781,,
2801,,
2811,,
2821,,0.7
2841,,1.2
2851,,
2861,,
2871,,0.7
2881,,0.9
2891,,1.1
2901,,0.5
2921,,
2931,,
2941,,0.9
2951,,
2961,,
2971,,0.7
2981,,
3001,,0.7
3011,,0.5
3021,,0.8
3031,,0.5
3041,,0.6
3051,,
3061,,
3071,,0.7
3081,,
3091,,1.1
3101,,
3111,,0.6
3121,,
3131,,
3151,,0.6
3161,,0.9
3171,,
3181,,
3191,,0.5
3201,,0.9
3221,,0.7
3241,,
3251,,0.5
3261,,1.7
3271,,0.8
3281,,
3291,,0.7
3301,,
3311,,1.1
3341,,1.0
3351,,0.7
3361,,0.6
3381,,
3391,,
3401,,0.5
3421,,
3431,,
3441,,0.6
3451,,0.5
3461,,
3471,,
3481,,
3511,,0.5
3521,,
3531,,
3541,,1.0
3551,,
3561,,0.6
3571,,
3581,,0.6
3591,,
3601,,0.5
3621,,
3631,,
3641,,0.5
3651,,
3661,,0.8
3671,,0.7
3681,,0.7
3691,,
3701,,
3711,,
3721,,0.5
3731,,0.7
3741,,
3751,,0.6
3761,,0.7
3771,,
3781,,
3791,,0.8
3801,,0.5
3821,,1.2
3831,,0.6
3851,,
3861,,1.2
3871,,0.9
3881,,
3891,,1.0
3901,,0.9
3921,,
3931,,
3941,,0.6
3951,,0.6
3961,,0.7
3971,,0.8
3981,,
3991,,0.9
4001,,0.8
4021,,0.6
4031,,
4051,,
4061,,
4071,,
4081,,0.5
4091,,
4121,,
4131,,
4141,,
4151,,
4161,,0.5
4171,,0.6
4181,,1.2
4191,,0.6
4211,,0.5
4221,,0.8
4231,,0.7
4241,,
4251,,0.9
4261,,0.6
4271,,
4281,,0.6
4291,,0.6
4301,,0.7
4311,,0.8
4321,,
4331,,
4341,,0.6
4351,,0.7
4361,,0.6
4371,,0.5
4391,,
4401,,
4421,,
4431,,0.8
4441,,
4451,,0.7
4461,,1.1
4471,,1.9
4481,,0.7
4491,,1.3
4501,,
4521,,0.5
4531,,
4541,,
4561,,0.6
4571,,0.6
4601,,0.5
4621,,1.0
4631,,
4641,,
4651,,0.6
4661,13.0,6.6
4691,,
4692,10.0,4.3
4693,8.0,3.0
4694,10.0,2.6
4721,4.0,5.8
4731,5.0,3.9
4732,4.0,3.8
4733,6.0,4.5
4751,,0.6
4781,4.0,4.3
4782,4.0,4.6
4783,5.0,3.1
4801,4.0,4.8
4802,4.0,3.6
4803,6.0,2.0
4811,4.0,6.7
4812,4.0,2.6
4813,5.0,2.2
4814,4.0,5.1
4815,4.0,3.0
4821,4.0,7.8
4851,6.0,5.6
4871,10.0,2.9
4891,4.0,8.9
4921,5.0,8.7
4931,,
4941,6.0,2.3
4942,8.0,1.8
4943,8.0,3.0
4944,7.0,2.4
4945,6.0,4.6
4946,6.0,3.4
4947,5.0,2.7
4948,5.0,1.5
4949,7.0,3.9
4961,6.0,5.4
4971,,1.5
4981,7.0,3.7
4982,5.0,4.1
4983,5.0,4.0
4991,5.0,4.2
4992,5.0,2.6
4993,7.0,2.4
4994,7.0,2.7
4995,4.0,4.2
5021,5.0,4.0
5022,4.0,5.3
5023,4.0,5.2
5041,5.0,11.9
5051,5.0,2.7
5071,7.0,8.6
5081,7.0,2.9
5091,4.0,3.3
5092,3.0,4.1
5093,3.0,3.1
5094,3.0,3.3
5095,4.0,4.6
5101,4.0,4.0
5102,3.0,7.1
5103,4.0,2.2
5104,4.0,2.6
5111,4.0,6.7
5121,,2.4
5141,,0.9
5161,4.0,2.7
5162,4.0,5.2
5163,4.0,2.7
5164,4.0,6.8
5165,4.0,2.6
5166,4.0,3.4
5167,4.0,4.0
5168,4.0,2.7
5171,4.0,3.4
5181,11.0,2.8
5201,4.0,6.9
5211,,2.2
5221,3.0,3.5
5222,3.0,2.1
5223,4.0,2.8
5224,3.0,2.1
5231,,1.6
5241,,1.8
5251,5.0,3.7
5261,,2.1
5271,,
5281,,2.6
5291,6.0,4.2
5292,5.0,3.5
5293,5.0,3.6
5301,7.0,4.8
5311,4.0,4.6
5312,6.0,4.0
5313,4.0,3.6
5314,3.0,4.4
5315,5.0,4.1
5321,4.0,2.8
5322,5.0,4.6
5323,5.0,3.6
5351,7.0,2.9
5361,8.0,5.4
5371,4.0,3.1
5372,3.0,5.3
5373,4.0,2.5
5381,4.0,5.8
5391,,1.0
5401,,1.1
5411,2.0,4.3
5412,3.0,4.5
5413,2.0,3.2
5421,5.0,2.9
5422,7.0,3.3
5423,4.0,4.8
5424,5.0,6.0
5431,7.0,7.2
5461,,0.8
5471,,1.3
5491,,0.7
5531,,0.6
5551,,0.5
5591,,0.8
5621,,1.2
5631,,
5641,,
5651,13.0,3.2
5652,11.0,3.6
5653,13.0,3.8
5661,,
5671,,0.9
5701,,0.7
5711,,0.9
5721,,
5731,,
5741,,1.3
5751,,
5761,,0.8
5771,,2.3
5781,,
5791,,1.0
5801,,
5821,,1.2
5841,,
5851,,0.6
5861,,
5871,20.0,3.0
5881,,1.2
5891,,
5901,,
5911,,1.0
5921,,
5931,,0.9
5941,,0.6
5951,,
5961,,
5971,,
5981,,0.9
5991,,
6021,,
6031,,
6041,,0.9
6051,,
6061,,1.2
6071,,1.0
6091,,0.6
6101,,0.9
6121,,0.9
6131,,0.7
6141,,
6151,,1.4
6161,,1.0
6171,,
6181,,0.6
6191,,
6201,,0.6
6221,,1.1
6231,,
6271,3.0,8.4
6331,5.0,2.8
6341,5.0,3.5
6342,6.0,8.0
6343,4.0,5.9
6344,5.0,1.0
6351,,3.1
6361,,1.4
6371,5.0,10.5
6372,4.0,3.0
6373,6.0,3.5
6374,4.0,4.7
6381,4.0,3.4
6382,4.0,4.9
6383,3.0,4.9
6384,3.0,5.0
6481,,
6491,,1.7
6521,,2.4
6541,6.0,3.3
6542,6.0,5.3
6543,9.0,3.4
6544,8.0,3.1
6581,,2.4
6611,,1.4
6621,,0.8
6631,,1.0
6641,,
6651,,0.5
6661,19.0,6.4
6671,,0.5
6681,,0.8
6701,,
6721,,0.6
6731,,0.7
6741,,0.6
6751,,
6761,,
6771,,0.8
6781,,
6791,,0.6
6801,,0.6
6811,17.0,2.5
6812,12.0,4.7
6813,13.0,3.7
6814,16.0,7.9
6815,18.0,2.3
6821,,0.7
6831,,1.0
6841,,0.5
6851,,0.7
6861,,1.0
6871,,0.9
6881,,0.6
6891,,1.0
6901,,0.6
6921,,0.6
6931,,
6941,,1.5
6951,,0.6
6961,,4.7
6971,,0.8
6981,,1.0
6991,,0.8
7001,,1.2
7011,,
7021,,
7031,,
7051,,
7061,,0.8
7071,,
7081,,0.6
7091,,2.5
7101,,1.3
7111,,0.9
7121,,0.7
7131,,
7141,,
7151,,0.5
7161,,
7171,,0.9
7181,,0.7
7191,,
7201,,0.8
7211,,
7221,,0.9
7231,,0.7
7261,,
7271,,0.8
7291,,0.8
7301,,
7311,,0.7
7321,,0.6
7341,,0.8
7351,,0.7
7361,,0.9
7371,,0.9
7381,,
7391,,1.2
7401,,1.0
7411,,0.6
7421,,1.0
7431,,0.8
7441,,
7451,,1.0
7461,,1.1
7471,,0.7
7481,,0.6
7491,,0.7
7501,,
7511,,0.8
7521,,
7531,,0.8
7551,,
7561,,0.9
7571,,1.2
7581,,
7591,,0.7
7601,,0.9
7611,,
7621,,0.6
7631,,1.8
7641,,
7651,,0.6
7661,,
7671,,1.0
7681,,0.5
7691,,0.9
7711,,
7721,,0.9
7731,,0.6
7741,,
7751,,
7761,,
7771,,
7781,,0.5
7791,,0.8
7801,,1.0
7831,,0.6
7841,,0.8
7851,,0.7
7861,,
7871,,1.2
7881,,0.9
7891,,
7911,,0.8
7921,,
7931,,0.9
7941,,
7951,,0.5
7961,,0.7
7971,,1.6
7981,,0.7
7991,,0.9
8001,,0.8
8011,,0.9
8021,,0.6
8031,,
8041,,1.2
8051,,0.6
8061,,0.6
8071,,0.9
8081,,
8091,,
8101,,0.5
8111,,0.6
8121,10.0,5.9
8131,,0.8
8141,,0.9
8151,,
8161,,
8171,,1.1
8181,,0.6
8191,,0.7
8201,,
8211,,0.5
8221,,0.7
8231,,0.5
8241,,0.7
8251,,0.7
8261,,
8271,,0.6
8281,,0.8
8291,,
8311,7.0,8.1
8331,,
8361,,0.6
8371,,0.6
8381,,0.6
8391,,0.7
8401,,
8411,,1.0
8421,,0.6
8431,,
8441,,
8451,,0.7
8461,,
8481,,
8491,,
8501,,1.0
8511,,0.9
8521,,
8531,,1.0
8541,,
8561,,1.1
8571,,0.7
8581,,1.1
8591,,
8611,,0.6
8621,,0.5
8631,,0.7
8641,,0.5
8651,,
8661,,0.6
8681,,
8701,,0.7
8711,,0.6
8721,,
8731,,
8741,7.0,4.0
8742,7.0,3.2
8743,7.0,4.0
8744,,
8745,9.0,3.4
8746,11.0,5.6
8747,11.0,1.8
8748,11.0,
8749,11.0,2.0
8751,,
8771,,0.7
8801,,1.3
8821,,
8851,,
8861,,
8881,,0.7
8891,,
8901,,
8921,,
8971,,
9131,4.0,4.9
9161,,
9171,,0.9
9191,,0.6
9211,,
9221,5.0,9.0
9261,,
9421,,
9441,4.0,6.7
9621,,5.6
9751,4.0,6.2
9781,5.0,4.3
9901,,0.5
9931,,1.2
9941,,1.0
9971,,1.6
9981,4.0,7.4
10151,17.0,2.7
10152,12.0,5.7
10153,17.0,4.5
10154,14.0,3.3
10155,12.0,4.0
10156,12.0,3.5
10201,7.0,1.5
10202,7.0,3.7
10203,7.0,4.9
10204,11.0,2.4
10205,10.0,3.5
10241,,0.8
10311,,
10312,7.0,3.9
10313,7.0,3.1
10314,7.0,3.8
10315,10.0,2.9
10316,9.0,4.3
10317,7.0,2.6
10341,,3.1
10342,7.0,3.7
10343,7.0,3.0
10344,9.0,2.2
10345,7.0,3.7
10346,4.0,4.9
10347,6.0,
10348,,
10431,,
10441,,
10451,,
10461,,
10471,,
10501,,1.4
10511,,
10521,,
10531,,
10541,3.0,5.1
10542,2.0,2.6
10543,1.0,7.0
10561,,
10571,,
10581,,
10591,3.0,16.2
10601,2.0,9.2
106111,11.0,6.5
106112,10.0,2.7
106113,,
106121,11.0,3.2
106122,7.0,3.1
106123,7.0,2.3
106124,12.0,2.6
106125,,
106131,10.0,2.8
106132,12.0,2.3
106133,8.0,2.8
106134,9.0,2.9
106141,8.0,3.3
106142,8.0,1.7
106143,9.0,5.1
10631,11.0,3.6
10632,,
10633,9.0,4.2
10634,10.0,5.1
10635,7.0,4.5
10636,7.0,3.2
10641,,0.6
10651,,
10661,10.0,6.9
10671,,
10681,,
10691,,0.8
10701,,0.5
10711,,
10721,,
10761,,
10771,,
10791,,
10801,,1.1
10811,,
10821,,1.8
10831,,0.7
10841,,
10851,,
10941,,
10951,,
10981,,2.1
11021,,
11031,,
11041,,
11051,,0.8
11081,,
11101,,
11111,,
11121,,
11131,,5.5
11141,,1.0
11151,,
11171,,
11231,,0.6
11241,,
11251,,
11261,,
11271,,
11281,,
11291,,
11301,,
11321,,
11331,,
11341,,
11361,,
11371,7.0,2.4
11381,,0.6
113911,,
113912,11.0,3.3
113913,10.0,4.2
113914,10.0,3.9
113921,9.0,2.9
113922,12.0,2.9
113923,12.0,4.4
113924,12.0,5.0
113931,11.0,2.3
113932,15.0,2.8
113933,12.0,3.9
113934,12.0,4.9
113935,12.0,3.7
11401,,1.2
11411,,
11431,,
11441,,
11451,,0.5
11461,,
11471,,
11481,,
11491,,0.8
11501,,
11511,,
11521,,
11531,,
11541,,
11551,,
11561,,
11571,,
11581,,
11601,,0.6
11611,4.0,4.1
11612,3.0,4.0
11613,2.0,6.2
11614,2.0,6.9
11615,4.0,3.1
11616,5.0,3.4
11617,3.0,5.8
11618,3.0,3.5
11619,4.0,4.4
116110,1.0,2.8
116111,4.0,5.7
11621,,
11631,,
11651,,
11661,,
11671,,4.0
11711,,
11721,,
11731,,
11741,,0.7
11751,,
11761,,
11771,,
11781,,1.1
11791,,0.7
11801,,
11811,,0.9
11821,,0.9
11831,,
11841,,
11851,,
11861,,1.6
11871,,
11881,,
11901,,0.7
11911,,0.6
11921,3.0,3.5
11922,4.0,4.0
11923,1.0,4.1
11951,,
11971,,
11981,,
11991,,1.6
120011,16.0,3.2
120012,13.0,4.4
120013,14.0,4.7
120014,,
120015,13.0,6.2
120016,13.0,3.5
120017,14.0,4.0
120021,13.0,2.6
120022,14.0,5.8
120023,13.0,8.9
120024,15.0,8.3
120031,,
120032,,
120033,16.0,5.4
120034,16.0,2.8
120041,17.0,3.3
120042,17.0,3.3
120043,18.0,2.8
12011,,1.2
12021,,
12031,,
12041,,0.8
12051,,
12061,,
12071,,
12081,,0.5
12091,,
12101,,
12111,,
12121,,
12131,,
12141,,
12191,,
12201,,
12211,,0.7
12221,,0.7
12231,,
12241,18.0,2.6
12242,18.0,1.6
12243,15.0,2.2
12244,14.0,3.1
12251,,
12261,,0.9
12271,,0.7
12281,,0.8
12291,,
12301,,
12311,,
12321,,0.6
12331,,0.5
12351,,
12361,,1.0
12371,,
12381,,
12391,,
12401,,0.9
12411,,
12421,,0.7
12441,,1.4
12451,,2.6
12461,,1.3
12471,13.0,3.3
12481,,
12491,,1.0
12511,,
12521,,
12531,,
12541,,
12551,,
12561,,0.7
12571,,
12581,,
12591,,
12601,,
12611,,
12621,,
12631,16.0,5.5
12641,,1.7
12651,,0.6
12661,,
12671,,
12681,17.0,6.1
12711,16.0,5.7
12721,,
12741,,2.4
12751,,
12761,,
12791,,
12801,,
12821,,
12831,,
12841,,2.5
12851,,0.6
12861,4.0,7.0
12871,,
12881,,1.6
12901,6.0,5.6
12911,,
12921,5.0,5.1
12922,5.0,3.3
12923,5.0,5.2
12924,4.0,4.4
12931,,2.0
12941,,
12951,5.0,5.6
12961,4.0,7.2
12971,,
13031,4.0,16.0
13041,16.0,4.2
13042,15.0,5.1
13043,16.0,4.4
13044,16.0,4.2
13091,6.0,5.8
13092,6.0,5.8
13093,4.0,5.1
13094,2.0,5.5
13095,4.0,4.8
13096,,
13097,4.0,6.9
13101,,2.5
13111,,
13131,,0.6
13141,,0.7
13151,,3.4
13161,,
13171,,
13181,,
13191,,5.2
13201,,
13211,,
13221,,
13231,,
13241,,
13251,,
13261,4.0,7.6
13271,3.0,1.6
13272,3.0,4.0
13273,2.0,3.1
13274,5.0,3.9
13301,,1.2
13311,,1.2
13321,,0.5
13331,,2.1
13341,,
13351,,0.6
13371,,2.4
13391,,
13401,,
13421,,
13431,,
13441,,
13461,,
13471,,
13481,,
13491,,
13581,,
13591,,
13601,,
13611,,
14191,,2.0
17221,,
20021,,0.7
20031,,0.6
20061,,
20081,,0.6
20091,,
20101,,0.5
20111,,1.0
20121,,
20131,,0.6
20141,,
20151,,0.8
20161,,
20181,,0.8
20211,,
20231,,
20241,,0.9
20261,,
20291,,0.5
20301,,
20331,,
20341,6.0,8.6
20351,,
20381,,1.5
20391,,
20421,,0.5
20431,,
20441,,
20451,,
20461,,0.6
20471,,
20481,,
20491,,
20501,,
20511,,
20521,,
20531,,
20541,,
20551,,0.9
20571,,
20591,,
20601,,
20611,,
20621,,
20631,,
20641,,
21001,10.0,1.6
21002,,
21003,7.0,4.2
21004,7.0,2.0
21005,10.0,4.5
21006,9.0,3.7
21007,7.0,2.6
22001,,
22002,8.0,3.2
22003,9.0,2.1
22004,7.0,2.9
22005,8.0,3.0
22006,9.0,5.1
22007,9.0,2.3
22008,6.0,1.9
22009,10.0,4.5
220010,7.0,2.1
220011,8.0,1.9
220012,8.0,3.3
23001,14.0,5.9
23002,15.0,3.5
23003,15.0,4.6
23004,15.0,2.3
24001,7.0,3.0
24002,7.0,2.6
24003,6.0,2.7
24004,7.0,3.3
24005,5.0,2.2
24006,,
24007,6.0,3.8
